rainfall,soil_moisture,slope,elevation,soil_type,previous_landslide,landslide
185.5,84.2,42.0,1650,clay,1,1
42.0,35.1,12.5,450,silt,0,0
220.0,88.7,48.2,1820,clay,1,1
15.0,22.4,8.0,220,sand,0,0
145.2,76.5,36.0,1420,loam,1,1
65.0,48.0,18.5,890,silt,0,0
198.0,91.2,44.5,1750,clay,1,1
28.5,31.0,14.0,510,loam,0,0
240.5,93.0,52.0,1950,gravelly,1,1
110.0,62.5,28.0,1200,loam,0,0
165.0,79.0,38.5,1580,clay,1,1
55.2,42.0,16.0,780,silt,0,0
190.0,85.5,41.0,1690,clay,1,1
35.0,29.5,11.0,340,sand,0,0
175.4,82.1,39.0,1520,gravelly,1,1
72.0,51.2,21.0,940,loam,0,0
210.0,89.5,46.0,1880,clay,1,1
18.0,25.0,9.5,260,sand,0,0
155.0,74.0,34.5,1350,loam,1,1
88.0,58.0,24.0,1050,silt,0,0
205.0,87.0,45.0,1720,clay,1,1
45.0,38.0,15.0,620,sand,0,0
182.0,83.5,40.5,1610,gravelly,1,1
60.0,44.0,17.5,810,loam,0,0
225.0,92.0,49.0,1910,clay,1,1
22.0,27.0,10.0,310,silt,0,0
168.0,78.5,37.0,1490,clay,1,1
80.0,54.0,22.5,990,loam,0,0
195.0,86.0,43.0,1680,gravelly,1,1
38.0,33.0,13.0,480,sand,0,0
160.0,75.0,35.0,1380,loam,1,1
68.0,49.0,19.0,860,silt,0,0
215.0,90.0,47.0,1850,clay,1,1
12.0,20.0,7.0,190,sand,0,0
150.0,72.0,33.0,1310,clay,0,1
92.0,60.0,25.0,1100,loam,0,0
200.0,88.0,44.0,1760,clay,1,1
50.0,40.0,16.5,720,silt,0,0
178.0,81.0,39.5,1550,gravelly,1,1
58.0,43.0,17.0,800,sand,0,0
230.0,94.0,50.0,1980,clay,1,1
25.0,28.0,10.5,330,loam,0,0
170.0,80.0,38.0,1500,clay,1,1
75.0,52.0,21.5,960,silt,0,0
192.0,85.0,42.5,1660,gravelly,1,1
32.0,30.0,12.0,420,sand,0,0
158.0,73.0,34.0,1360,loam,1,1
85.0,56.0,23.5,1020,clay,0,0
208.0,89.0,45.5,1800,clay,1,1
40.0,36.0,14.5,590,silt,0,0
180.0,84.0,41.5,1630,gravelly,1,1
62.0,46.0,18.0,830,loam,0,0
222.0,91.5,48.5,1890,clay,1,1
20.0,26.0,9.0,280,sand,0,0
162.0,77.0,36.5,1450,clay,1,1
78.0,53.0,22.0,980,silt,0,0
188.0,84.5,41.0,1670,gravelly,1,1
30.0,29.0,11.5,370,sand,0,0
152.0,71.0,33.5,1330,loam,0,0
90.0,59.0,24.5,1080,clay,0,0
202.0,87.5,44.5,1740,clay,1,1
48.0,39.0,15.5,670,silt,0,0
176.0,80.5,39.0,1540,gravelly,1,1
56.0,42.5,16.5,790,loam,0,0
228.0,93.5,49.5,1960,clay,1,1
24.0,27.5,10.2,320,sand,0,0
166.0,78.0,37.5,1480,clay,1,1
82.0,55.0,23.0,1000,silt,0,0
196.0,86.5,43.5,1700,gravelly,1,1
36.0,32.0,12.5,460,sand,0,0
156.0,74.5,35.5,1400,loam,1,1
66.0,48.5,18.8,880,clay,0,0
212.0,89.8,46.5,1860,clay,1,1
16.0,24.0,9.0,240,sand,0,0
172.0,80.2,38.2,1510,gravelly,1,1
70.0,50.5,20.5,920,loam,0,0
184.0,83.8,41.2,1640,clay,1,1
44.0,37.5,14.8,610,silt,0,0
218.0,90.5,47.8,1870,clay,1,1
26.0,28.5,10.8,350,sand,0,0
164.0,77.5,36.8,1460,loam,1,1
76.0,52.5,21.8,970,silt,0,0
194.0,85.8,42.8,1690,gravelly,1,1
34.0,31.0,12.2,440,sand,0,0
154.0,72.5,34.2,1370,clay,1,1
86.0,57.0,23.8,1030,loam,0,0
206.0,88.5,45.2,1780,clay,1,1
42.0,36.5,14.2,580,silt,0,0
181.0,84.2,41.8,1620,gravelly,1,1
64.0,47.0,18.2,850,sand,0,0
224.0,92.5,49.2,1920,clay,1,1
19.0,25.5,9.2,270,loam,0,0
169.0,79.0,37.8,1495,clay,1,1
84.0,56.5,23.2,1010,silt,0,0
197.0,87.0,43.8,1710,gravelly,1,1
29.0,29.5,11.2,380,sand,0,0
159.0,75.5,35.2,1410,loam,1,1
67.0,49.2,19.2,870,clay,0,0
214.0,90.2,46.8,1840,clay,1,1
14.0,22.0,8.2,210,sand,0,0
174.0,81.5,39.2,1530,gravelly,1,1
73.0,51.8,21.2,950,loam,0,0
186.0,84.6,41.6,1655,clay,1,1
46.0,38.5,15.2,640,silt,0,0
221.0,91.2,48.2,1885,clay,1,1
27.0,28.8,10.6,360,sand,0,0
167.0,78.2,37.2,1475,loam,1,1
81.0,54.5,22.8,995,silt,0,0
193.0,85.5,42.5,1685,gravelly,1,1
33.0,30.5,12.0,430,sand,0,0
157.0,74.0,34.8,1390,clay,1,1
87.0,57.5,24.0,1040,loam,0,0
207.0,88.8,45.5,1790,clay,1,1
41.0,35.8,14.0,560,silt,0,0
179.0,83.5,41.0,1625,gravelly,1,1
63.0,46.5,18.0,840,loam,0,0
226.0,93.0,49.8,1940,clay,1,1
21.0,26.5,9.8,290,sand,0,0
163.0,77.2,36.5,1455,clay,1,1
77.0,53.2,22.2,975,silt,0,0
189.0,84.8,41.2,1665,gravelly,1,1
31.0,29.8,11.8,400,sand,0,0
153.0,71.5,33.8,1340,loam,0,0
89.0,58.5,24.2,1060,clay,0,0
203.0,87.8,44.8,1750,clay,1,1
47.0,39.2,15.8,680,silt,0,0
177.0,80.8,39.2,1545,gravelly,1,1
57.0,43.2,16.8,795,loam,0,0
227.0,93.2,49.6,1955,clay,1,1
23.0,27.2,10.1,315,sand,0,0
165.0,77.8,37.0,1470,clay,1,1
83.0,55.5,23.1,1005,silt,0,0
195.5,86.2,43.2,1695,gravelly,1,1
35.5,31.5,12.4,450,sand,0,0
155.5,74.2,35.0,1395,loam,1,1
65.5,48.2,18.6,875,clay,0,0
211.0,89.5,46.2,1855,clay,1,1
17.0,24.5,9.2,250,sand,0,0
171.0,79.8,38.0,1505,gravelly,1,1
71.0,51.0,20.8,930,loam,0,0
183.0,83.5,41.0,1635,clay,1,1
43.0,37.0,14.5,600,silt,0,0
217.0,90.2,47.5,1865,clay,1,1
27.5,29.0,11.0,365,sand,0,0
161.0,76.5,36.0,1440,loam,1,1
79.0,53.8,22.5,985,silt,0,0
191.0,85.2,42.0,1675,gravelly,1,1
32.5,30.8,12.1,435,sand,0,0
151.0,71.0,33.2,1320,clay,1,1
91.0,59.5,24.8,1090,loam,0,0
209.0,89.2,45.8,1810,clay,1,1
39.0,35.2,14.1,570,silt,0,0
182.5,84.0,41.5,1630,gravelly,1,1
61.0,45.5,17.8,825,loam,0,0
223.0,91.8,48.8,1900,clay,1,1
15.5,23.5,8.8,230,sand,0,0
173.0,81.0,38.8,1525,clay,1,1
74.0,52.2,21.5,955,silt,0,0
199.0,87.5,44.2,1730,gravelly,1,1
28.0,29.2,11.1,375,sand,0,0
158.5,75.2,35.1,1405,loam,1,1
69.0,50.0,20.0,900,silt,0,0
219.0,90.8,48.0,1875,clay,1,1
13.0,21.5,8.0,200,sand,0,0
175.0,81.8,39.5,1535,gravelly,1,1
80.5,54.2,22.6,992,loam,0,0
187.0,84.8,41.8,1660,clay,1,1
49.0,39.8,16.0,700,silt,0,0
229.0,93.8,49.9,1970,clay,1,1
24.5,27.8,10.4,325,sand,0,0
168.5,78.8,37.8,1490,clay,1,1
84.5,56.8,23.4,1015,silt,0,0
198.5,87.2,44.0,1725,gravelly,1,1
37.0,32.5,12.8,470,sand,0,0
154.5,73.0,34.5,1385,loam,1,1
68.5,49.5,19.5,890,clay,0,0
213.0,90.0,46.6,1845,clay,1,1
18.5,25.2,9.6,265,sand,0,0
176.5,82.0,39.8,1555,gravelly,1,1
72.5,51.5,21.0,945,loam,0,0
185.0,84.2,41.5,1645,clay,1,1
45.5,38.2,15.0,630,silt,0,0
220.5,91.0,48.0,1880,clay,1,1
26.5,28.6,10.7,355,sand,0,0
166.5,78.1,37.4,1482,loam,1,1
78.5,53.5,22.4,982,silt,0,0
193.5,85.8,42.7,1692,gravelly,1,1
33.5,30.8,12.1,438,sand,0,0
152.5,72.0,34.0,1365,clay,1,1
88.5,58.2,24.1,1055,loam,0,0
208.5,88.9,45.6,1795,clay,1,1
40.5,36.0,14.4,585,silt,0,0
180.5,84.1,41.6,1628,gravelly,1,1
63.5,46.8,18.1,845,sand,0,0
225.5,92.8,49.4,1930,clay,1,1
20.5,26.2,9.4,285,loam,0,0
170.5,79.5,38.2,1515,clay,1,1
85.5,57.2,23.6,1025,silt,0,0
196.5,86.8,43.6,1705,gravelly,1,1
30.5,30.0,11.6,390,sand,0,0
160.5,76.0,35.8,1420,loam,1,1
69.5,50.2,20.2,910,clay,0,0
215.5,90.5,47.2,1858,clay,1,1
14.5,22.8,8.5,220,sand,0,0
177.5,82.4,40.0,1560,gravelly,1,1
75.5,52.8,22.0,965,loam,0,0
188.5,84.9,41.9,1672,clay,1,1
48.5,39.5,15.6,690,silt,0,0
227.5,93.4,49.7,1962,clay,1,1
23.5,27.4,10.3,322,sand,0,0
167.5,78.4,37.6,1488,clay,1,1
82.5,55.2,23.3,1008,silt,0,0
194.5,86.2,43.0,1698,gravelly,1,1
36.5,32.2,12.6,465,sand,0,0
155.8,74.4,35.3,1402,loam,1,1
